,raw_Momentum,raw_Quality,raw_Value,raw_Size,raw_Beta,raw_Invest,raw_Yield,Rank_Momentum,Rank_Quality,Rank_Value,Rank_Size,Rank_Beta,Rank_Invest,Rank_Yield,Final_Score
MOTHERSON.NS,0.2319891600896548,0.54253,0.26034,133978.0,1.9097,0.09204,0.0,5,5,4,2,5,4,3,4.3
SAIL.NS,0.17172775237413218,0.28571,0.80822,72883.0,1.3134,-0.03083,0.0,5,3,5,4,4,5,3,4.26
HEROMOTOCO.NS,0.3783497629396254,0.48165,0.19141,100685.0,1.3164,0.08556,0.0,5,5,3,3,4,4,3,4.17
APOLLOTYRE.NS,0.02376164277739816,0.40104,0.53976,27356.0,1.3049,0.01293,0.0,3,4,5,5,4,5,3,3.98
IOC.NS,0.18349658491795373,0.13197,0.90776,205436.0,2.1602,0.0508,0.0,5,2,5,2,5,5,3,3.92
FORTIS.NS,0.2318950250743524,0.30567,0.12744,69966.0,1.0618,0.03031,0.0,5,4,2,4,3,5,3,3.91
TATASTEEL.NS,0.20782958846138597,0.33552,0.34659,263044.0,0.885,0.02184,0.0,5,4,4,2,2,5,3,3.87
TIMKEN.NS,0.24228136756351043,0.30835,0.10506,27079.0,1.1837,0.14653,0.0,5,4,2,5,3,2,3,3.82
PVRINOX.NS,0.08266045203304352,0.23124,0.7145,9869.0,0.8627,-0.03317,0.0,4,3,5,5,1,5,3,3.78
NATIONALUM.NS,0.46000322363161594,0.41423,0.22046,80764.0,0.5028,0.18961,0.0,5,5,3,3,1,2,3,3.73
DELHIVERY.NS,0.2661853724113961,0.0573,0.28024,33657.0,0.7503,0.05327,0.0,5,2,4,5,1,5,3,3.73
RAMCOCEM.NS,0.08855739379523389,0.25002,0.32857,22649.0,0.9084,0.00349,0.0,4,3,4,5,2,5,3,3.73
ALKEM.NS,0.07748968289318414,0.44921,0.18157,66006.0,0.9013,0.13587,0.0,4,5,3,4,2,3,3,3.72
CANBK.NS,0.37306953966643114,0.01013,0.825,127778.0,1.5737,0.12747,0.0,5,1,5,3,5,3,3,3.7
PNB.NS,0.1860024212848876,0.00995,1.0278,129537.0,1.6677,0.16196,0.0,5,1,5,3,5,2,3,3.63
ACC.NS,-0.042958114442127736,0.30997,0.69431,26724.0,1.401,0.08751,0.0,2,4,5,5,4,4,3,3.61
BANKBARODA.NS,0.1549056998289167,0.01113,1.02517,142905.0,1.4829,0.12509,0.0,5,1,5,2,5,3,3,3.58
JKCEMENT.NS,0.0863956900493758,0.52673,0.13589,44808.0,0.8802,0.12697,0.0,4,5,2,4,2,3,3,3.57
BPCL.NS,0.10684262081169002,0.17833,0.60551,134407.0,1.7799,0.07887,0.0,4,2,5,2,5,4,3,3.55
OIL.NS,0.06196813268837191,0.21038,0.64562,77085.0,1.3034,0.13339,0.0,3,3,5,4,4,3,3,3.52
FEDERALBNK.NS,0.2406296987465364,0.01155,0.47452,72785.0,1.003,0.13313,0.0,5,1,5,4,2,3,3,3.52
HINDALCO.NS,0.1993355302373424,0.29837,0.53125,232862.0,0.7834,0.14697,0.0,5,3,5,2,1,2,3,3.51
NMDC.NS,0.08723594060384308,0.31485,0.38686,76761.0,0.7338,0.14991,0.0,4,4,4,4,1,2,3,3.5
CDSL.NS,0.0935919712212342,0.38001,0.06363,27663.0,1.574,0.21356,0.0,4,4,1,5,5,1,3,3.5
TATACOMM.NS,0.04467432995023901,0.48663,0.06706,45050.0,1.8031,0.08237,0.0,3,5,1,4,5,4,3,3.49
CHAMBLFERT.NS,-0.23240812000762956,0.6271,0.4874,17907.0,1.0999,-0.00889,0.0,1,5,5,5,3,5,3,3.48
ZEEL.NS,-0.02667725078349632,0.27398,1.31676,8759.0,1.2738,0.02115,0.0,2,3,5,5,4,5,3,3.48
AARTIIND.NS,0.024337081107689208,0.158,0.33137,16915.0,1.4987,0.0987,0.0,3,2,4,5,5,4,3,3.46
MPHASIS.NS,0.025965192633190748,0.29077,0.2216,43449.0,1.4714,0.05495,0.0,3,3,3,4,5,5,3,3.46
LT.NS,0.15674483810134873,0.2188,0.17511,557695.0,1.24,0.1158,0.0,5,3,3,1,4,3,3,3.46
IDFCFIRSTB.NS,0.0866648799631867,0.00433,0.65393,58349.0,1.4579,0.16103,0.0,4,1,5,4,5,2,3,3.45
PRESTIGE.NS,0.08208740443857956,0.09934,0.25868,59622.0,1.9088,0.2118,0.0,4,2,4,4,5,1,3,3.43
EXIDEIND.NS,0.011857136716667459,0.24952,0.47125,29524.0,1.2571,0.17886,0.0,3,3,4,5,4,2,3,3.42
BANDHANBNK.NS,0.04888370779951893,0.01434,0.87828,28015.0,1.4266,0.07667,0.0,3,1,5,5,5,4,3,3.41
ABCAPITAL.NS,0.4792450012193407,0.05216,0.33156,91653.0,1.5608,0.20232,0.0,5,1,4,3,5,1,3,3.41
SCHAEFFLER.NS,0.12869851548152828,0.39507,0.09169,65962.0,1.1294,0.1932,0.0,4,4,2,4,3,2,3,3.4
CANFINHOME.NS,0.11323161205688795,0.02092,0.42295,11981.0,1.229,0.10682,0.0,4,1,4,5,4,3,3,3.39
LTIM.NS,0.10226125057773085,0.3511,0.17,133516.0,1.1261,0.11127,0.0,4,4,3,2,3,3,3,3.38
INDIANB.NS,0.41966440731960075,0.01284,0.58027,123240.0,0.6074,0.10221,0.0,5,1,5,3,1,4,3,3.37
UNIONBANK.NS,0.2820978512923513,0.01193,0.82979,137184.0,1.0259,0.07798,0.0,5,1,5,2,2,4,3,3.35
SUNTV.NS,-0.017443553369508265,0.24189,0.47224,24664.0,1.2598,0.10643,0.0,2,3,5,5,4,3,3,3.34
NAVINFLUOR.NS,0.18491084979566996,0.25406,0.08153,32210.0,0.7824,0.10358,0.0,5,3,1,5,1,3,3,3.34
SBIN.NS,0.2491638229493434,0.0106,0.48219,1010060.0,1.1886,0.08619,0.0,5,1,5,1,3,4,3,3.33
ASTRAL.NS,0.12429910105430306,0.432,0.08549,42310.0,0.8318,0.12408,0.0,4,5,1,4,1,3,3,3.32
RADICO.NS,0.10627761213660543,0.43378,0.06424,42865.0,0.8285,0.13284,0.0,4,5,1,4,1,3,3,3.32
ASHOKLEY.NS,0.3282686390959656,0.22713,0.12205,100226.0,1.2101,0.20887,0.0,5,3,2,3,3,1,3,3.31
BEL.NS,0.23350279800499013,0.2675,0.06073,328904.0,1.3892,0.03302,0.0,5,3,1,1,4,5,3,3.3
BOSCHLTD.NS,0.14981930682971045,0.27818,0.12529,110247.0,1.0576,0.16673,0.0,5,3,2,3,2,2,3,3.28
TVSMOTOR.NS,0.2091206677176325,0.21085,0.05093,166947.0,1.2371,0.1354,0.0,5,3,1,2,4,3,3,3.28
CUMMINSIND.NS,0.3788257695122494,0.33669,0.05269,143504.0,1.0444,0.13355,0.0,5,4,1,2,2,3,3,3.28
SIEMENS.NS,0.12817970036627208,0.26488,0.09612,137619.0,1.4222,-0.21328,0.0,4,3,2,2,4,5,3,3.27
EICHERMOT.NS,0.20825048143379096,0.29272,0.10946,194557.0,1.1174,0.17496,0.0,5,3,2,2,3,2,3,3.26
AMBUJACEM.NS,-0.026314194476305057,0.30637,0.47753,111916.0,1.4906,0.24333,0.0,2,4,5,3,5,1,3,3.26
INDUSTOWER.NS,0.02406952642677454,0.29561,0.3045,106726.0,1.2964,0.13071,0.0,3,3,4,3,4,3,3,3.25
JSWSTEEL.NS,0.11216090390792911,0.24458,0.25889,307068.0,0.938,0.05497,0.0,4,3,4,1,2,5,3,3.25
AUROPHARMA.NS,0.01372205335279153,0.35426,0.39168,83368.0,0.8726,0.10458,0.0,3,4,4,3,2,3,3,3.25
VOLTAS.NS,0.1305830563567946,0.25434,0.13618,47829.0,0.9322,0.09275,0.0,4,3,2,4,2,4,3,3.24
LALPATHLAB.NS,0.04158100972680091,0.60295,0.09094,23892.0,0.9418,0.1062,0.0,3,5,1,5,2,3,3,3.24
BHEL.NS,0.13961555904478676,0.12499,0.2103,117554.0,1.8401,0.15391,0.0,4,2,3,3,5,2,3,3.23
COFORGE.NS,0.07523392520092906,0.34876,0.15561,40994.0,0.9929,1.04507,0.0,4,4,2,4,2,1,3,3.23
GALAXYSURF.NS,-0.029951731094353208,0.3715,0.3587,6586.0,1.1565,0.18781,0.0,2,4,4,5,3,2,3,3.22
TORNTPHARM.NS,0.12348243708333255,0.56257,0.05408,140360.0,0.7609,-0.0047,0.0,4,5,1,2,1,5,3,3.22
SHRIRAMFIN.NS,0.27251486198644903,0.03253,0.23781,237457.0,1.4249,0.18309,0.0,5,1,3,2,5,2,3,3.21
VEDL.NS,0.26838419565407967,0.30356,0.13322,287485.0,1.0171,0.06544,0.0,5,3,2,1,2,4,3,3.18
AUBANK.NS,0.23110823444207707,0.01334,0.21751,78921.0,1.4085,0.44249,0.0,5,1,3,3,4,1,3,3.16
ADANIPORTS.NS,0.16573661034566034,0.13585,0.16906,369302.0,1.2268,0.13803,0.0,5,2,3,1,3,3,3,3.16
BERGEPAINT.NS,-0.03330628301506269,0.51239,0.11262,54645.0,1.1132,0.09117,0.0,2,5,2,4,3,4,3,3.14
