effective_date,period,symbol,ticker,source
2020-03-31,Mar2020,AUBANK,AUBANK.NS,NIFTY_200
2020-03-31,Mar2020,ADANIPORTS,ADANIPORTS.NS,NIFTY_200
2020-03-31,Mar2020,ADANIPOWER,ADANIPOWER.NS,NIFTY_200
2020-03-31,Mar2020,ADANIENSOL,ADANIENSOL.NS,NIFTY_200
2020-03-31,Mar2020,ABCAPITAL,ABCAPITAL.NS,NIFTY_200
2020-03-31,Mar2020,ABFRL,ABFRL.NS,NIFTY_200
2020-03-31,Mar2020,AJANTPHARM,AJANTPHARM.NS,NIFTY_200
2020-03-31,Mar2020,ALKEM,ALKEM.NS,NIFTY_200
2020-03-31,Mar2020,ARE&M,ARE&M.NS,NIFTY_200
2020-03-31,Mar2020,AMBUJACEM,AMBUJACEM.NS,NIFTY_200
2020-03-31,Mar2020,APOLLOHOSP,APOLLOHOSP.NS,NIFTY_200
2020-03-31,Mar2020,APOLLOTYRE,APOLLOTYRE.NS,NIFTY_200
2020-03-31,Mar2020,ASHOKLEY,ASHOKLEY.NS,NIFTY_200
2020-03-31,Mar2020,ASIANPAINT,ASIANPAINT.NS,NIFTY_200
2020-03-31,Mar2020,AUROPHARMA,AUROPHARMA.NS,NIFTY_200
2020-03-31,Mar2020,DMART,DMART.NS,NIFTY_200
2020-03-31,Mar2020,AXISBANK,AXISBANK.NS,NIFTY_200
2020-03-31,Mar2020,BAJAJ-AUTO,BAJAJ-AUTO.NS,NIFTY_200
2020-03-31,Mar2020,BAJFINANCE,BAJFINANCE.NS,NIFTY_200
2020-03-31,Mar2020,BAJAJFINSV,BAJAJFINSV.NS,NIFTY_200
2020-03-31,Mar2020,BAJAJHLDNG,BAJAJHLDNG.NS,NIFTY_200
2020-03-31,Mar2020,BALKRISIND,BALKRISIND.NS,NIFTY_200
2020-03-31,Mar2020,BANDHANBNK,BANDHANBNK.NS,NIFTY_200
2020-03-31,Mar2020,BANKBARODA,BANKBARODA.NS,NIFTY_200
