ticker,effective_date
ABCAPITAL.NS,2020-03-31
ABFRL.NS,2020-03-31
ADANIENSOL.NS,2020-03-31
ADANIPORTS.NS,2020-03-31
ADANIPOWER.NS,2020-03-31
AJANTPHARM.NS,2020-03-31
ALKEM.NS,2020-03-31
AMBUJACEM.NS,2020-03-31
APOLLOHOSP.NS,2020-03-31
APOLLOTYRE.NS,2020-03-31
ARE&M.NS,2020-03-31
ASHOKLEY.NS,2020-03-31
ASIANPAINT.NS,2020-03-31
AUBANK.NS,2020-03-31
AUROPHARMA.NS,2020-03-31
AXISBANK.NS,2020-03-31
BAJAJ-AUTO.NS,2020-03-31
BAJAJFINSV.NS,2020-03-31
BAJAJHLDNG.NS,2020-03-31
BAJFINANCE.NS,2020-03-31
BALKRISIND.NS,2020-03-31
BANDHANBNK.NS,2020-03-31
BANKBARODA.NS,2020-03-31
BANKINDIA.NS,2020-03-31
BATAINDIA.NS,2020-03-31
BBTC.NS,2020-03-31
BEL.NS,2020-03-31
BHARATFORG.NS,2020-03-31
BHARTIARTL.NS,2020-03-31
BHEL.NS,2020-03-31
BIOCON.NS,2020-03-31
BOSCHLTD.NS,2020-03-31
BPCL.NS,2020-03-31
BRITANNIA.NS,2020-03-31
CANBK.NS,2020-03-31
CASTROLIND.NS,2020-03-31
CESC.NS,2020-03-31
CHOLAFIN.NS,2020-03-31
CIPLA.NS,2020-03-31
COALINDIA.NS,2020-03-31
COLPAL.NS,2020-03-31
CONCOR.NS,2020-03-31
COROMANDEL.NS,2020-03-31
CROMPTON.NS,2020-03-31
CUB.NS,2020-03-31
CUMMINSIND.NS,2020-03-31
DABUR.NS,2020-03-31
DALBHARAT.NS,2020-03-31
DLF.NS,2020-03-31
DMART.NS,2020-03-31
DRREDDY.NS,2020-03-31
EDELWEISS.NS,2020-03-31
EICHERMOT.NS,2020-03-31
EMAMILTD.NS,2020-03-31
ENDURANCE.NS,2020-03-31
ENGINERSIN.NS,2020-03-31
ESCORTS.NS,2020-03-31
EXIDEIND.NS,2020-03-31
FCONSUMER.NS,2020-03-31
FEDERALBNK.NS,2020-03-31
FORTIS.NS,2020-03-31
FRETAIL.NS,2020-03-31
GAIL.NS,2020-03-31
GICRE.NS,2020-03-31
GLENMARK.NS,2020-03-31
GMRAIRPORT.NS,2020-03-31
GODREJAGRO.NS,2020-03-31
GODREJCP.NS,2020-03-31
GODREJIND.NS,2020-03-31
GODREJPROP.NS,2020-03-31
GRAPHITE.NS,2020-03-31
GRASIM.NS,2020-03-31
GSPL.NS,2020-03-31
HAVELLS.NS,2020-03-31
HCLTECH.NS,2020-03-31
HDFCAMC.NS,2020-03-31
HDFCBANK.NS,2020-03-31
HDFCLIFE.NS,2020-03-31
HEG.NS,2020-03-31
HEROMOTOCO.NS,2020-03-31
HEXAWARE.NS,2020-03-31
HINDALCO.NS,2020-03-31
HINDPETRO.NS,2020-03-31
HINDUNILVR.NS,2020-03-31
HINDZINC.NS,2020-03-31
HUDCO.NS,2020-03-31
IBULHSGFIN.NS,2020-03-31
IBVENTURES.NS,2020-03-31
ICICIBANK.NS,2020-03-31
ICICIGI.NS,2020-03-31
ICICIPRULI.NS,2020-03-31
IDBI.NS,2020-03-31
IDEA.NS,2020-03-31
IDFCFIRSTB.NS,2020-03-31
IGL.NS,2020-03-31
INDHOTEL.NS,2020-03-31
INDIANB.NS,2020-03-31
INDIGO.NS,2020-03-31
INDUSINDBK.NS,2020-03-31
INDUSTOWER.NS,2020-03-31
INFY.NS,2020-03-31
IOC.NS,2020-03-31
ITC.NS,2020-03-31
JINDALSTEL.NS,2020-03-31
JSWENERGY.NS,2020-03-31
JSWSTEEL.NS,2020-03-31
JUBILANT.NS,2020-03-31
JUBLFOOD.NS,2020-03-31
KOTAKBANK.NS,2020-03-31
LICHSGFIN.NS,2020-03-31
LT.NS,2020-03-31
LTF.NS,2020-03-31
LTIM.NS,2020-03-31
LTTS.NS,2020-03-31
LUPIN.NS,2020-03-31
M&M.NS,2020-03-31
M&MFIN.NS,2020-03-31
MANAPPURAM.NS,2020-03-31
MARICO.NS,2020-03-31
MARUTI.NS,2020-03-31
MCDOWELL-N.NS,2020-03-31
MFSL.NS,2020-03-31
MGL.NS,2020-03-31
MOTHERSON.NS,2020-03-31
MPHASIS.NS,2020-03-31
MRF.NS,2020-03-31
MRPL.NS,2020-03-31
MUTHOOTFIN.NS,2020-03-31
NAM-INDIA.NS,2020-03-31
NATCOPHARM.NS,2020-03-31
NATIONALUM.NS,2020-03-31
NAUKRI.NS,2020-03-31
NESTLEIND.NS,2020-03-31
NHPC.NS,2020-03-31
NIACL.NS,2020-03-31
NMDC.NS,2020-03-31
NTPC.NS,2020-03-31
OBEROIRLTY.NS,2020-03-31
OFSS.NS,2020-03-31
ONGC.NS,2020-03-31
PAGEIND.NS,2020-03-31
PEL.NS,2020-03-31
