,Portfolio,Nifty50
2020-01-01,500000.0,500000.0
2020-02-01,,468218.38831792143
2020-03-01,,359374.6198728243
2020-04-01,,412130.8429373697
2020-05-01,,400443.9069032319
2020-06-01,,430614.18755036045
2020-07-01,,462855.625555649
2020-08-01,,475982.4935363073
2020-09-01,,470132.75979881117
2020-10-01,,486636.99395633506
2020-11-01,,542085.0276630537
2020-12-01,708924.2004929504,584418.7248299684
2021-01-01,,569908.2959771218
2021-02-01,,607299.3397930801
2021-03-01,,614051.9087384554
2021-04-01,,611560.6827880047
2021-05-01,,651340.4968001966
2021-06-01,914531.1756524852,657137.9821849444
2021-07-01,,658874.7092664903
2021-08-01,,716103.3505072581
2021-09-01,,736415.4691044878
2021-10-01,,738651.6986021117
2021-11-01,,709875.3468596699
2021-12-01,1111732.2544116525,725376.4534634535
2022-01-01,,724782.863193403
2022-02-01,,701962.9053023098
2022-03-01,,730003.5349276157
2022-04-01,,714864.0848905111
2022-05-01,,693212.3675116478
2022-06-01,910851.420541888,659593.6547641109
2022-07-01,,717192.2388337515
2022-08-01,,742315.3694244272
2022-09-01,,714521.2867136521
2022-10-01,,752886.1908420067
2022-11-01,,784074.2938920859
2022-12-01,1084414.8600191993,756777.7134651352
2023-01-01,,738254.6111212252
2023-02-01,,723282.2741748638
2023-03-01,,725614.6732967648
2023-04-01,,755093.1939173121
2023-05-01,,774713.5116689348
2023-06-01,1149004.402026647,802077.0352978441
2023-07-01,,825682.8410694911
2023-08-01,,804783.4999702021
2023-09-01,,820855.0932755554
2023-10-01,,797502.1205483791
2023-11-01,,841539.1548339115
2023-12-01,1732147.3607165553,908343.8986577888
2024-01-01,,908105.5971864263
2024-02-01,,918852.1036901216
2024-03-01,,933235.013907042
2024-04-01,,944852.9249689162
2024-05-01,,941753.5363562816
2024-06-01,2312947.2241974934,1003611.4224695674
2024-07-01,,1042925.2056666604
2024-08-01,,1054827.3804227056
2024-09-01,,1078859.5000975574
2024-10-01,,1011751.7158277405
2024-11-01,,1008648.163674496
2024-12-01,2158995.455720158,988321.5135041582
2025-01-01,,982620.156924662
2025-02-01,,924783.2713836587
2025-03-01,,983077.819839516
2025-04-01,,1017137.4597014169
2025-05-01,,1034546.6108371249
2025-06-01,2047583.9385885852,1066579.096250446
2025-07-01,,1035284.37390554
2025-08-01,,1021010.1239347255
2025-09-01,,1028711.5311298134
2025-10-01,,1075149.8670524338
2025-11-01,,1095248.7470600097
2025-12-01,2037391.5462071046,1092182.8300483543
2026-01-01,,1058369.818739035
2026-02-01,,1052434.405866837
2026-03-01,,933423.1079769356
2026-04-01,1968739.3315411392,1010401.6673755571
