,gross_profit_assets,book_to_market,market_cap_cr,asset_growth_yoy,dividend_yield_pct,beta_nifty50
HDFCBANK.NS,0.01398,0.63576,1207510.0,0.09223,0.0,1.0256
ICICIBANK.NS,0.0186,0.37589,965857.0,0.10304,0.0,0.8368
KOTAKBANK.NS,0.02515,0.42748,368417.0,0.14604,0.0,1.0157
AXISBANK.NS,0.01693,0.43976,425765.0,0.09137,0.0,1.0137
SBIN.NS,0.0106,0.48219,1010060.0,0.08619,0.0,1.1886
BANKBARODA.NS,0.01113,1.02517,142905.0,0.12509,0.0,1.4829
PNB.NS,0.00995,1.0278,129537.0,0.16196,0.0,1.6677
CANBK.NS,0.01013,0.825,127778.0,0.12747,0.0,1.5737
INDIANB.NS,0.01284,0.58027,123240.0,0.10221,0.0,0.6074
UNIONBANK.NS,0.01193,0.82979,137184.0,0.07798,0.0,1.0259
BANDHANBNK.NS,0.01434,0.87828,28015.0,0.07667,0.0,1.4266
FEDERALBNK.NS,0.01155,0.47452,72785.0,0.13313,0.0,1.003
IDFCFIRSTB.NS,0.00433,0.65393,58349.0,0.16103,0.0,1.4579
AUBANK.NS,0.01334,0.21751,78921.0,0.44249,0.0,1.4085
BAJFINANCE.NS,0.03569,0.16938,570878.0,0.24055,0.0,0.9587
BAJAJFINSV.NS,0.07368,0.25281,286367.0,0.21249,0.0,1.0521
SHRIRAMFIN.NS,0.03253,0.23781,237457.0,0.18309,0.0,1.4249
CHOLAFIN.NS,0.02111,0.17992,131548.0,0.28848,0.0,1.6264
MUTHOOTFIN.NS,0.04014,0.20526,143060.0,0.37721,0.0,0.8833
PFC.NS,0.01952,0.75941,155039.0,0.134,0.0,1.4154
RECLTD.NS,0.02585,0.79066,99128.0,0.12096,0.0,1.5867
IRFC.NS,0.02987,0.3836,137298.0,0.00774,0.0,1.5433
LICHSGFIN.NS,0.01733,1.21138,30009.0,0.07809,0.0,1.2961
SBILIFE.NS,0.00548,0.09263,183375.0,0.14768,0.0,1.0663
HDFCLIFE.NS,0.00517,0.13744,129146.0,0.1176,0.0,1.1822
ICICIGI.NS,0.04959,0.16053,90234.0,0.09022,0.0,1.1818
LICI.NS,0.00857,0.24783,513368.0,0.06481,0.0,1.4518
BSE.NS,0.17597,0.03145,140642.0,0.09433,0.0,0.5841
CDSL.NS,0.38001,0.06363,27663.0,0.21356,0.0,1.574
CAMS.NS,0.62858,0.05855,19105.0,0.12958,0.0,1.2553
TCS.NS,0.59016,0.11753,912409.0,0.14247,0.0,1.1033
INFY.NS,0.3371,0.01,502026.0,0.05423,0.0,0.6469
HCLTECH.NS,0.45925,0.21744,345674.0,0.10151,0.0,0.7747
WIPRO.NS,0.21226,0.38984,212473.0,0.11633,0.0,0.8136
TECHM.NS,0.40991,0.23513,125955.0,0.10956,0.0,0.503
LTIM.NS,0.3511,0.17,133516.0,0.11127,0.0,1.1261
MPHASIS.NS,0.29077,0.2216,43449.0,0.05495,0.0,1.4714
COFORGE.NS,0.34876,0.15561,40994.0,1.04507,0.0,0.9929
PERSISTENT.NS,0.40437,0.09905,79134.0,0.30217,0.0,0.8796
OFSS.NS,0.38866,0.10929,76517.0,0.02006,0.0,1.1454
RELIANCE.NS,0.1241,0.46382,1817952.0,0.11056,0.0,1.0106
ONGC.NS,0.16966,0.95371,360110.0,0.02254,0.0,0.7421
BPCL.NS,0.17833,0.60551,134407.0,0.07887,0.0,1.7799
IOC.NS,0.13197,0.90776,205436.0,0.0508,0.0,2.1602
COALINDIA.NS,0.39673,0.35685,277723.0,0.09478,0.0,0.4393
NTPC.NS,0.13644,0.47192,390048.0,0.09156,0.0,0.9563
POWERGRID.NS,0.15954,0.31218,296829.0,0.06065,0.0,1.1018
TATAPOWER.NS,0.12751,0.26067,137495.0,0.12295,0.0,1.0759
ADANIGREEN.NS,0.08415,0.06069,199992.0,0.25819,0.0,2.436
ADANIPORTS.NS,0.13585,0.16906,369302.0,0.13803,0.0,1.2268
ADANIENT.NS,0.15352,0.15957,315317.0,0.23271,0.0,1.3443
GAIL.NS,0.14412,0.78366,108463.0,0.0676,0.0,1.8503
PETRONET.NS,0.20331,0.48046,41372.0,0.06949,0.0,1.4094
OIL.NS,0.21038,0.64562,77085.0,0.13339,0.0,1.3034
TORNTPOWER.NS,0.17329,0.20125,87528.0,0.09526,0.0,1.5685
HINDUNILVR.NS,0.38093,0.08884,556088.0,0.01759,0.0,0.8351
ITC.NS,0.47993,0.18307,382525.0,-0.04068,0.0,1.069
NESTLEIND.NS,0.91269,0.01474,271989.0,0.35802,0.0,0.9841
BRITANNIA.NS,0.7763,0.03188,136608.0,-0.0259,0.0,1.1322
DABUR.NS,0.35833,0.13238,81590.0,0.07337,0.0,1.0604
MARICO.NS,0.60506,0.03939,100918.0,0.12357,0.0,0.7649
COLPAL.NS,1.28009,0.02846,58482.0,-0.05568,0.0,1.6663
GODREJCP.NS,0.37684,0.10264,116952.0,0.06358,0.0,1.2374
EMAMILTD.NS,0.72115,0.13207,20404.0,0.07742,0.0,1.2324
TATACONSUM.NS,0.22438,0.17063,117220.0,0.14121,0.0,1.219
VBL.NS,0.42789,0.11954,163778.0,0.10462,0.0,1.3534
RADICO.NS,0.43378,0.06424,42865.0,0.13284,0.0,0.8285
UBL.NS,0.40545,0.11128,39217.0,0.1658,0.0,0.7478
MARUTI.NS,0.2564,0.2326,413754.0,0.14409,0.0,0.8689
M&M.NS,0.21351,0.21051,365956.0,0.17472,0.0,1.3237
BAJAJ-AUTO.NS,0.24897,0.13194,266700.0,0.3768,0.0,1.307
EICHERMOT.NS,0.29272,0.10946,194557.0,0.17496,0.0,1.1174
TVSMOTOR.NS,0.21085,0.05093,166947.0,0.1354,0.0,1.2371
