Period,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Dividend Payout %,Equity Capital,Reserves,Borrowings +,Other Liabilities +,Total Liabilities,Fixed Assets +,CWIP,Investments,Other Assets +,Total Assets,Ticker,Revenue +,Financing Profit,Financing Margin %,Borrowing,Deposits,Raw PDF
Mar 2018,1705.0,652.0,1053.0,62%,10.0,559.0,14.0,490.0,22%,380.0,,19%,16.0,1847.0,6966.0,737.0,9567.0,31.0,22.0,1111.0,8403.0,9567.0,360ONE.NS,,,,,,
Mar 2019,1578.0,589.0,990.0,63%,1.0,431.0,22.0,538.0,30%,375.0,,23%,17.0,2894.0,6103.0,749.0,9763.0,337.0,173.0,3053.0,6200.0,9763.0,360ONE.NS,,,,,,
Mar 2020,1521.0,698.0,823.0,54%,6.0,502.0,41.0,286.0,30%,201.0,5.77,87%,17.0,2974.0,8838.0,1191.0,13021.0,608.0,1.0,6512.0,5899.0,13021.0,360ONE.NS,,,,,,
Mar 2021,1654.0,715.0,939.0,57%,2.0,414.0,43.0,485.0,24%,369.0,10.5,167%,18.0,2810.0,5077.0,834.0,8739.0,837.0,2.0,2513.0,5386.0,8739.0,360ONE.NS,,,,,,
Mar 2022,2072.0,915.0,1157.0,56%,6.0,370.0,42.0,751.0,23%,578.0,16.28,84%,18.0,3006.0,5808.0,1903.0,10734.0,816.0,0.0,4072.0,5846.0,10734.0,360ONE.NS,,,,,,
Mar 2023,2057.0,766.0,1291.0,63%,5.0,399.0,46.0,850.0,23%,658.0,18.48,373%,36.0,3086.0,6784.0,1285.0,11191.0,880.0,39.0,3609.0,6663.0,11191.0,360ONE.NS,,,,,,
Mar 2024,2921.0,1216.0,1705.0,58%,4.0,643.0,57.0,1009.0,20%,804.0,22.41,74%,36.0,3414.0,9472.0,2193.0,15114.0,940.0,64.0,5948.0,8163.0,15114.0,360ONE.NS,,,,,,
Mar 2025,3684.0,1292.0,2391.0,65%,-87.0,887.0,71.0,1347.0,25%,1015.0,25.83,23%,39.0,7026.0,11160.0,1543.0,19768.0,1281.0,88.0,7608.0,10791.0,19768.0,360ONE.NS,,,,,,
Mar 2026,4362.0,1655.0,2707.0,62%,116.0,1090.0,155.0,1577.0,23%,1216.0,29.94,0%,41.0,9795.0,15931.0,1434.0,27201.0,3969.0,0.0,8842.0,14389.0,27201.0,360ONE.NS,,,,,,
Mar 2014,2619.0,2217.0,402.0,15%,11.0,118.0,89.0,206.0,26%,163.0,4.58,25%,44.0,826.0,1039.0,760.0,2670.0,826.0,117.0,117.0,1609.0,2670.0,AARTIIND.NS,,,,,,
Mar 2015,2890.0,2424.0,466.0,16%,9.0,138.0,82.0,255.0,24%,208.0,5.81,24%,44.0,972.0,1202.0,719.0,2938.0,967.0,193.0,139.0,1639.0,2938.0,AARTIIND.NS,,,,,,
Mar 2016,3006.0,2434.0,572.0,19%,6.0,117.0,98.0,363.0,26%,268.0,7.71,28%,42.0,1096.0,1292.0,538.0,2966.0,1246.0,313.0,41.0,1366.0,2966.0,AARTIIND.NS,,,,,,
Mar 2017,3163.0,2509.0,654.0,21%,2.0,117.0,123.0,416.0,21%,328.0,9.62,3%,41.0,1321.0,1564.0,573.0,3499.0,1697.0,270.0,47.0,1486.0,3499.0,AARTIIND.NS,,,,,,
Mar 2018,3806.0,3106.0,700.0,18%,7.0,132.0,146.0,429.0,19%,346.0,10.24,2%,41.0,1538.0,2083.0,730.0,4391.0,1998.0,436.0,47.0,1910.0,4391.0,AARTIIND.NS,,,,,,
Mar 2019,4168.0,3202.0,965.0,23%,2.0,183.0,163.0,622.0,19%,504.0,14.18,19%,43.0,2587.0,2401.0,826.0,5858.0,2147.0,795.0,33.0,2884.0,5858.0,AARTIIND.NS,,,,,,
Mar 2020,4186.0,3209.0,977.0,23%,9.0,125.0,185.0,676.0,19%,547.0,15.39,11%,87.0,2892.0,2098.0,1256.0,6332.0,2468.0,1418.0,37.0,2409.0,6332.0,AARTIIND.NS,,,,,,
Mar 2021,4506.0,3525.0,982.0,22%,1.0,86.0,231.0,665.0,19%,535.0,15.02,10%,87.0,3416.0,2857.0,1282.0,7642.0,3593.0,1298.0,64.0,2688.0,7642.0,AARTIIND.NS,,,,,,
Mar 2022,6086.0,4365.0,1720.0,28%,1.0,102.0,246.0,1372.0,14%,1186.0,32.71,11%,181.0,4335.0,2587.0,748.0,7851.0,3595.0,1346.0,28.0,2882.0,7851.0,AARTIIND.NS,,,,,,
Mar 2023,6619.0,5530.0,1089.0,16%,1.0,168.0,310.0,611.0,11%,545.0,15.04,17%,181.0,4739.0,2907.0,754.0,8581.0,4861.0,1096.0,17.0,2607.0,8581.0,AARTIIND.NS,,,,,,
Mar 2024,6371.0,5393.0,978.0,15%,7.0,211.0,378.0,395.0,-5%,416.0,11.49,9%,181.0,5109.0,3623.0,1203.0,10115.0,5649.0,1229.0,23.0,3214.0,10115.0,AARTIIND.NS,,,,,,
